Distance,Top,Middle-T,Middle-B,Bottom
1.25,0.720928,0.716793,0.651576,0.69659
1.25,0.720104,0.714168,0.649775,0.696712
1.25,0.71957,0.714961,0.650889,0.697932
1.25,0.719722,0.712444,0.647547,0.69575
0.75,0.721233,0.719402,0.687373,0.658564
0.75,0.720302,0.718959,0.688106,0.659632
0.75,0.720088,0.720745,0.690044,0.660533
0.75,0.719997,0.722103,0.691249,0.660548
0.75,0.722332,0.72282,0.690318,0.659083
0.75,0.720638,0.720531,0.689876,0.658961
0.75,0.719905,0.719234,0.688411,0.659297
0.75,0.719402,0.721111,0.689387,0.659693
0.75,0.720836,0.721187,0.689982,0.660288
0.75,0.720531,0.720287,0.689357,0.658671
0.75,0.719676,0.720943,0.690364,0.659525
0.75,0.720317,0.720485,0.689769,0.659693
0.75,0.721431,0.721187,0.689815,0.659678
0.25,0.718257,0.720882,0.712093,0.639948
0.25,0.72018,0.72256,0.712154,0.637629
0.25,0.720775,0.722972,0.712215,0.637568
0.25,0.720668,0.719951,0.709163,0.637507
0.25,0.719265,0.720821,0.71046,0.637812
0.25,0.719936,0.721477,0.710567,0.63711
0.25,0.721492,0.722103,0.710399,0.636973
0.25,0.72015,0.722087,0.711315,0.638422
0.25,0.719905,0.721386,0.711421,0.637858
0.25,0.717647,0.720455,0.711727,0.640269
0.25,0.718456,0.720211,0.710445,0.63917
0.25,0.721752,0.721691,0.710399,0.638163
0.25,0.719951,0.721447,0.711147,0.63827
0.25,0.722835,0.722728,0.710643,0.637675
0.25,0.720394,0.723262,0.712489,0.637583
0.25,0.720958,0.722377,0.710643,0.637659
0.25,0.72166,0.722499,0.710033,0.63679
